epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,116.75,1.73064,3.70025,1.52237,0.93912,0.93503,0.93557,0.48687,1.70753,6.96829,1.77828,0.00058,0.00058,0.00058
2,237.202,1.80334,3.57073,1.58736,0.90332,0.9697,0.9063,0.34619,2.1556,7.00161,2.26452,0.00112159,0.00112159,0.00112159
3,359.99,1.85998,3.07479,1.65664,0.84683,0.93939,0.84801,0.35613,2.21785,16.4066,2.44487,0.00160378,0.00160378,0.00160378
4,476.72,1.98603,3.13029,1.66747,0.80474,0.87432,0.86505,0.36905,2.03091,7.80973,2.14764,0.001703,0.001703,0.001703
5,594.616,2.01417,3.10353,1.68445,0.79222,0.80897,0.91797,0.32306,1.97227,17.0773,2.06003,0.001604,0.001604,0.001604
6,711.433,1.92271,2.30851,1.73154,0.88554,0.93781,0.88387,0.3818,1.74841,6.36951,1.91894,0.001505,0.001505,0.001505
7,826.493,1.89199,1.89561,1.61955,0.82825,0.90909,0.83955,0.37934,2.08097,2.72789,2.0118,0.001406,0.001406,0.001406
8,936.819,1.81242,2.2108,1.55186,0.76171,0.87193,0.91663,0.42303,2.04207,3.63605,2.0173,0.001307,0.001307,0.001307
9,1046.97,1.88049,1.82132,1.64909,0.82018,0.82953,0.80877,0.25022,2.74382,3.44572,2.62713,0.001208,0.001208,0.001208
10,1157.47,1.88949,1.88533,1.67031,0.92289,0.93939,0.94645,0.36873,2.42737,2.3933,2.31485,0.001109,0.001109,0.001109
11,1264.95,1.76266,1.70542,1.70167,0.91276,0.95136,0.9597,0.44245,1.81011,2.06398,1.83072,0.00101,0.00101,0.00101
