epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,101.946,1.53616,6.52799,1.48589,0.90396,0.93939,0.96203,0.48533,1.9385,8.22932,1.8261,0.000655556,0.000655556,0.000655556
2,198.921,1.75646,6.21281,1.60935,0.90404,0.93939,0.94524,0.36676,2.17591,7.91675,2.15456,0.00119132,0.00119132,0.00119132
3,303.355,1.66111,4.85581,1.60671,0.75451,0.21212,0.39765,0.07138,2.61656,10.0107,2.33145,0.00159509,0.00159509,0.00159509
4,410.943,1.69263,4.61878,1.68694,0.78606,0.87879,0.91344,0.40382,2.05793,5.65666,2.0515,0.001406,0.001406,0.001406
5,510.939,1.65952,3.40538,1.60293,0.91621,0.90909,0.91451,0.32302,2.07831,4.67729,2.18567,0.001208,0.001208,0.001208
6,614.2,1.46595,3.90168,1.38793,0.9405,0.95817,0.98309,0.41252,2.05867,3.39533,2.07592,0.00101,0.00101,0.00101
7,712.096,1.68159,3.17002,1.57915,0.93673,0.93939,0.93337,0.45014,1.96746,3.71616,2.03669,0.000812,0.000812,0.000812
8,816.046,1.48436,3.01679,1.44389,0.87847,0.87879,0.91461,0.41667,1.92108,3.37452,1.97745,0.000614,0.000614,0.000614
9,913.439,1.50748,2.44685,1.4315,0.93429,0.9697,0.95657,0.47264,1.87599,2.89301,1.98409,0.000416,0.000416,0.000416
10,1011.81,1.54087,2.39366,1.45735,0.91427,0.90909,0.94334,0.435,2.06235,2.89899,2.02637,0.000218,0.000218,0.000218
